Name,Address,City,Zip Code,County,Phone Number,Public Housing Units,Housing Choice Vouchers,PHA Size,Performance Designation,Occupancy Rate,Operating Subsidy,Capital Fund
Alachua County,703 NE 1st St                                     ,Gainesville,32601,Alachua,3523722549,257,1160,257,Standard Performer,75.6,868493,1071997
Gainesville Housing Authority,1900 SE 4th St                                    ,Gainesville,32641,Alachua,3528725502,574,1914,640,Standard Performer,67.0,1519139,0
